METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.0,0.38,0.33,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.38,0.33,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.38,0.33,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.38,0.33,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.38,0.33,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,5
0.0,0.38,0.33,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,6
0.03,0.38,0.33,0.0,0.06,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.06,0.38,0.33,0.0,0.18,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.37,0.84,0.72,0.0,0.31,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.44,0.87,0.79,0.0,0.36,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.64,0.9,0.9,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.64,0.9,0.9,0.0,0.5,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.64,0.81,0.84,0.0,0.58,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.78,0.9,0.9,0.0,0.56,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.78,0.9,0.9,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.78,0.9,0.9,0.0,0.37,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.85,0.9,0.9,0.0,0.45,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.57,0.54,0.65,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.37,0.46,0.58,0.0,0.27,OFF,OFF,0.0,0.0,WEEKDAY,19
0.37,0.46,0.58,0.0,0.21,OFF,OFF,0.0,0.0,WEEKDAY,20
0.24,0.43,0.51,0.0,0.22,OFF,OFF,0.0,0.0,WEEKDAY,21
0.24,0.43,0.51,0.0,0.12,OFF,OFF,0.0,0.0,WEEKDAY,22
0.02,0.38,0.33,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,23
0.02,0.38,0.33,0.0,0.06,OFF,OFF,0.0,0.0,WEEKDAY,24
0.0,0.28,0.25,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.28,0.25,0.0,0.06,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.28,0.25,0.0,0.06,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.28,0.25,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,6
0.03,0.37,0.31,0.0,0.07,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.03,0.37,0.31,0.0,0.14,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.16,0.48,0.43,0.0,0.18,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.23,0.5,0.5,0.0,0.23,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.44,0.53,0.61,0.0,0.26,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.5,0.54,0.65,0.0,0.32,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.58,0.41,0.55,0.0,0.32,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.58,0.41,0.55,0.0,0.31,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.58,0.41,0.55,0.0,0.25,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.58,0.41,0.55,0.0,0.23,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.58,0.41,0.55,0.0,0.24,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.56,0.37,0.52,0.0,0.19,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.42,0.37,0.52,0.0,0.18,OFF,OFF,0.0,0.0,SATURDAY,19
0.14,0.34,0.45,0.0,0.16,OFF,OFF,0.0,0.0,SATURDAY,20
0.14,0.32,0.37,0.0,0.14,OFF,OFF,0.0,0.0,SATURDAY,21
0.14,0.32,0.37,0.0,0.13,OFF,OFF,0.0,0.0,SATURDAY,22
0.07,0.3,0.3,0.0,0.08,OFF,OFF,0.0,0.0,SATURDAY,23
0.0,0.28,0.25,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,24
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,1
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,2
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,3
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,4
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,5
0.0,0.28,0.25,0.0,0.07,OFF,OFF,0.0,0.0,SUNDAY,6
0.02,0.28,0.25,0.0,0.05,OFF,SETPOINT,0.0,0.0,SUNDAY,7
0.02,0.28,0.25,0.0,0.06,OFF,SETPOINT,0.0,0.0,SUNDAY,8
0.02,0.28,0.25,0.0,0.06,OFF,SETPOINT,0.0,0.0,SUNDAY,9
0.02,0.28,0.25,0.0,0.07,OFF,SETPOINT,0.0,0.0,SUNDAY,10
0.08,0.3,0.3,0.0,0.11,OFF,SETPOINT,0.0,0.0,SUNDAY,11
0.15,0.33,0.41,0.0,0.13,OFF,SETPOINT,0.0,0.0,SUNDAY,12
0.15,0.33,0.41,0.0,0.15,OFF,SETPOINT,0.0,0.0,SUNDAY,13
0.29,0.36,0.48,0.0,0.17,OFF,SETPOINT,0.0,0.0,SUNDAY,14
0.29,0.36,0.48,0.0,0.14,OFF,SETPOINT,0.0,0.0,SUNDAY,15
0.29,0.36,0.48,0.0,0.13,OFF,SETPOINT,0.0,0.0,SUNDAY,16
0.29,0.36,0.48,0.0,0.14,OFF,SETPOINT,0.0,0.0,SUNDAY,17
0.29,0.36,0.48,0.0,0.13,OFF,SETPOINT,0.0,0.0,SUNDAY,18
0.14,0.33,0.41,0.0,0.1,OFF,OFF,0.0,0.0,SUNDAY,19
0.07,0.31,0.34,0.0,0.11,OFF,OFF,0.0,0.0,SUNDAY,20
0.0,0.28,0.25,0.0,0.09,OFF,OFF,0.0,0.0,SUNDAY,21
0.0,0.28,0.25,0.0,0.1,OFF,OFF,0.0,0.0,SUNDAY,22
0.0,0.28,0.25,0.0,0.06,OFF,OFF,0.0,0.0,SUNDAY,23
0.0,0.28,0.25,0.0,0.05,OFF,OFF,0.0,0.0,SUNDAY,24
